ID;DNI;MATRICULA;KM_RECORRIDOS;NUMERO_ACELERONES;NUMERO_FRENAZOS;RPM_MEDIA;INICIO;FIN
1792;44678910Y;5567JJL;164,7205169;6;4;3092;2021-04-03 00:51:46.023;2021-04-03 02:35:45.089
1793;12345678A;3445DKM;88,18913786;5;4;3068;2021-04-03 03:54:20.680;2021-04-03 04:08:15.531
1794;12345678A;3445DKM;84,04972452;3;3;2967;2021-04-03 14:03:39.859;2021-04-03 15:41:41.202
1795;12345678A;3445DKM;170,8614881;1;1;2553;2021-04-04 01:41:45.160;2021-04-04 01:55:34.629
1796;12345678A;1125LLV;112,5960958;4;4;2548;2021-04-04 08:33:36.324;2021-04-04 10:10:51.746
1797;12345678A;5567JJL;155,670057;6;2;3067;2021-04-04 13:06:22.665;2021-04-04 14:44:46.547
1798;12345678A;5567JJL;134,9600049;1;0;2818;2021-04-04 19:26:49.151;2021-04-04 20:38:29.078
1799;87654321V;3445DKM;117,426841;3;2;2629;2021-04-04 22:58:50.760;2021-04-05 00:33:10.601
1800;44678910Y;5567JJL;19,27755517;6;2;2716;2021-04-05 06:59:50.186;2021-04-05 08:11:14.354
1801;44678910Y;5567JJL;158,4251451;6;5;2778;2021-04-05 10:59:59.263;2021-04-05 12:07:41.661
1802;12345678A;3445DKM;36,3981178;1;6;2660;2021-04-05 17:07:34.227;2021-04-05 18:59:28.719
1803;12345678A;3445DKM;158,5103079;1;6;2591;2021-04-06 03:54:24.728;2021-04-06 04:08:23.110
1804;12345678A;3445DKM;23,04517056;6;1;2828;2021-04-06 04:48:29.800;2021-04-06 06:24:35.117
1805;12345678A;1125LLV;56,04801866;4;3;2645;2021-04-06 12:06:31.539;2021-04-06 13:06:59.541
1806;87654321V;3445DKM;198,8872137;0;7;3074;2021-04-06 17:07:08.401;2021-04-06 17:43:50.412
1807;44678910Y;3445DKM;177,7818993;5;0;2532;2021-04-06 18:46:40.196;2021-04-06 19:12:27.633
1808;12345678A;3445DKM;150,0834959;3;7;2901;2021-04-06 22:23:01.957;2021-04-07 00:19:18.644
1809;12345678A;5567JJL;2,752452257;6;0;2865;2021-04-07 02:47:51.058;2021-04-07 04:00:21.959
1810;87654321V;3445DKM;196,0999867;2;3;2859;2021-04-07 08:08:45.108;2021-04-07 09:50:41.033
1811;44678910Y;1125LLV;165,9477975;7;7;2788;2021-04-07 14:32:50.586;2021-04-07 14:51:30.998
1812;44678910Y;3445DKM;36,8016247;7;1;2709;2021-04-07 18:59:28.072;2021-04-07 19:22:45.405
1813;12345678A;1125LLV;169,8085825;5;5;3021;2021-04-08 06:16:20.856;2021-04-08 06:40:15.410
1814;12345678A;5567JJL;146,5074234;3;4;2910;2021-04-08 07:15:56.364;2021-04-08 07:44:50.646
1815;87654321V;1125LLV;83,52796141;5;7;2668;2021-04-08 15:44:05.728;2021-04-08 16:51:11.715
1816;44678910Y;3445DKM;118,5913264;2;7;2679;2021-04-09 00:36:20.953;2021-04-09 00:43:56.865
1817;44678910Y;3445DKM;117,6238701;1;5;2788;2021-04-09 10:30:41.826;2021-04-09 11:11:43.522
1818;12345678A;5567JJL;151,4929833;4;3;2723;2021-04-09 20:40:50.808;2021-04-09 21:21:29.721
1819;12345678A;5567JJL;124,0924284;2;0;2797;2021-04-10 05:14:54.270;2021-04-10 06:45:12.696
1820;87654321V;3445DKM;122,0746135;4;1;3077;2021-04-10 09:12:36.456;2021-04-10 10:39:09.474
1821;44678910Y;1125LLV;126,5272095;7;6;2656;2021-04-10 14:50:56.427;2021-04-10 15:08:30.721
1822;44678910Y;3445DKM;129,9313078;5;6;2598;2021-04-10 22:05:26.770;2021-04-10 23:50:37.157
1823;12345678A;1125LLV;158,8161219;5;6;3035;2021-04-11 08:53:09.206;2021-04-11 10:21:25.063
1824;12345678A;5567JJL;57,45720724;5;3;2603;2021-04-11 21:00:47.425;2021-04-11 21:44:16.328
1825;87654321V;1125LLV;28,98655945;6;5;2645;2021-04-12 05:39:09.886;2021-04-12 07:02:09.125
1826;44678910Y;3445DKM;18,50320368;5;0;3045;2021-04-12 17:30:15.791;2021-04-12 18:48:18.403
1827;44678910Y;3445DKM;102,5131292;5;3;2769;2021-04-12 22:45:52.335;2021-04-13 00:26:56.935
1828;12345678A;5567JJL;192,208733;5;0;3043;2021-04-13 10:54:36.774;2021-04-13 12:40:51.899
1829;12345678A;5567JJL;29,52764177;6;7;2962;2021-04-13 19:15:49.960;2021-04-13 20:53:52.661
1830;87654321V;3445DKM;155,5175689;7;4;2558;2021-04-14 07:02:37.987;2021-04-14 07:44:01.501
1831;44678910Y;5567JJL;156,0447376;1;3;2801;2021-04-14 15:18:13.771;2021-04-14 16:41:35.534
1832;44678910Y;5567JJL;185,8760372;5;3;2978;2021-04-15 03:18:18.593;2021-04-15 04:03:11.215
1833;12345678A;3445DKM;150,9474171;7;1;2751;2021-04-15 06:00:10.506;2021-04-15 06:47:38.380
1834;12345678A;3445DKM;67,19765746;5;2;3092;2021-04-15 10:42:26.944;2021-04-15 10:57:28.063
1835;12345678A;3445DKM;149,315612;7;7;2595;2021-04-15 16:41:43.674;2021-04-15 17:12:48.378
1836;12345678A;1125LLV;123,0658396;3;3;2802;2021-04-16 00:08:17.114;2021-04-16 01:46:53.853
1837;12345678A;5567JJL;115,9527916;1;3;2748;2021-04-16 07:59:12.520;2021-04-16 09:45:48.505
1838;12345678A;5567JJL;56,66174138;5;6;2763;2021-04-16 20:20:36.967;2021-04-16 21:44:19.019
1839;87654321V;3445DKM;129,21899;2;1;2502;2021-04-17 03:00:40.503;2021-04-17 03:24:59.570
1840;44678910Y;5567JJL;172,2361146;3;2;2974;2021-04-17 13:01:18.015;2021-04-17 14:28:22.852
1841;44678910Y;5567JJL;119,1811597;1;0;3067;2021-04-17 22:27:25.521;2021-04-17 23:25:34.270
1842;12345678A;3445DKM;194,4837976;6;2;2931;2021-04-18 01:28:57.524;2021-04-18 02:34:48.476
1843;12345678A;3445DKM;142,3288266;4;7;2715;2021-04-18 12:43:15.264;2021-04-18 14:03:49.843
1844;12345678A;3445DKM;139,6049761;4;2;2567;2021-04-18 22:15:10.950;2021-04-18 23:59:18.005
1845;12345678A;1125LLV;8,990104529;5;5;3031;2021-04-19 07:00:55.152;2021-04-19 08:29:38.087
1846;87654321V;3445DKM;144,1678623;2;2;2824;2021-04-19 12:42:10.179;2021-04-19 14:12:18.354
1847;44678910Y;3445DKM;142,1308091;3;7;2976;2021-04-19 21:39:00.275;2021-04-19 22:46:15.411
1848;12345678A;3445DKM;172,8238954;5;4;3014;2021-04-20 01:02:53.866;2021-04-20 03:01:23.133
1849;12345678A;5567JJL;139,9635136;7;3;2553;2021-04-20 05:46:19.724;2021-04-20 07:42:41.091
1850;87654321V;3445DKM;38,15797801;4;7;3037;2021-04-20 10:44:59.738;2021-04-20 11:25:11.058
1851;44678910Y;1125LLV;136,8405718;0;0;3000;2021-04-20 15:27:05.945;2021-04-20 15:41:47.493
1852;44678910Y;3445DKM;61,97587713;2;4;3051;2021-04-20 23:07:27.609;2021-04-20 23:22:32.930
1853;12345678A;1125LLV;125,0558411;2;1;3030;2021-04-21 07:23:38.480;2021-04-21 09:20:54.885
1854;12345678A;5567JJL;185,2328406;5;1;3007;2021-04-21 12:47:44.881;2021-04-21 14:37:02.380
1855;87654321V;1125LLV;114,0746314;3;2;2842;2021-04-21 21:39:50.840;2021-04-21 22:47:31.689
1856;44678910Y;3445DKM;112,9456373;4;3;2682;2021-04-22 02:48:54.999;2021-04-22 03:01:27.865
1857;44678910Y;3445DKM;100,4480007;6;2;3036;2021-04-22 13:56:05.865;2021-04-22 15:13:53.111
1858;12345678A;5567JJL;146,9640537;3;1;2553;2021-04-23 01:05:23.450;2021-04-23 01:07:09.156
1859;12345678A;5567JJL;112,3390696;4;6;3047;2021-04-23 07:36:49.381;2021-04-23 08:28:38.379
1860;87654321V;3445DKM;8,565447595;7;6;2860;2021-04-23 13:08:19.071;2021-04-23 13:12:03.707
1861;44678910Y;1125LLV;113,8074961;6;7;2572;2021-04-23 21:41:38.821;2021-04-23 22:14:16.554
1862;44678910Y;3445DKM;129,8570853;5;3;2551;2021-04-24 03:34:55.523;2021-04-24 04:23:34.271
1863;12345678A;1125LLV;96,237172;3;0;3072;2021-04-24 04:41:46.676;2021-04-24 05:35:55.183
1864;12345678A;5567JJL;176,5049839;6;0;2580;2021-04-24 13:09:11.728;2021-04-24 13:32:32.561
1865;87654321V;1125LLV;173,3128794;1;6;3080;2021-04-24 23:43:11.154;2021-04-24 23:53:08.470
1866;44678910Y;3445DKM;119,1963062;3;3;2700;2021-04-25 03:02:47.717;2021-04-25 03:47:22.708
1867;44678910Y;3445DKM;84,44699531;2;1;2546;2021-04-25 04:47:02.651;2021-04-25 05:52:18.343
1868;12345678A;5567JJL;138,5980979;5;6;2533;2021-04-25 15:41:25.262;2021-04-25 16:48:46.871
1869;12345678A;5567JJL;165,6722605;1;6;3066;2021-04-26 02:39:01.753;2021-04-26 02:58:21.045
1870;87654321V;3445DKM;9,303434606;7;7;2806;2021-04-26 11:59:48.074;2021-04-26 13:38:29.661
1871;44678910Y;5567JJL;39,9564674;6;7;3098;2021-04-26 14:39:36.499;2021-04-26 14:53:52.139
1872;44678910Y;5567JJL;102,9215529;1;6;2602;2021-04-26 15:32:11.048;2021-04-26 16:06:22.028
1873;12345678A;3445DKM;183,206334;2;1;2537;2021-04-26 21:35:38.349;2021-04-26 22:41:58.899
1874;12345678A;3445DKM;2,410291866;3;2;2997;2021-04-27 04:59:33.652;2021-04-27 05:05:37.544
1875;12345678A;3445DKM;8,330438205;6;6;2607;2021-04-27 10:48:29.537;2021-04-27 11:19:58.569
1876;12345678A;1125LLV;191,1599281;1;7;3067;2021-04-27 12:31:39.870;2021-04-27 14:07:50.803
1877;12345678A;5567JJL;166,6543645;1;4;2900;2021-04-27 21:50:56.938;2021-04-27 22:19:08.572
1878;12345678A;5567JJL;169,9518333;0;2;2771;2021-04-28 00:47:38.865;2021-04-28 01:56:36.381
1879;87654321V;3445DKM;38,96797647;2;5;2597;2021-04-28 03:32:44.283;2021-04-28 04:25:55.123
1880;44678910Y;5567JJL;5,030933331;0;0;2754;2021-04-28 11:43:09.623;2021-04-28 12:25:51.378
1881;44678910Y;5567JJL;138,2202624;2;7;2511;2021-04-28 14:28:07.305;2021-04-28 16:09:45.544
1882;12345678A;3445DKM;15,99496468;7;3;2762;2021-04-28 16:41:14.096;2021-04-28 17:50:30.031
1883;12345678A;3445DKM;53,58272773;6;3;2817;2021-04-29 01:55:33.247;2021-04-29 02:32:22.856
1884;12345678A;3445DKM;74,92651162;3;2;2977;2021-04-29 10:28:52.848;2021-04-29 12:08:12.484
1885;12345678A;1125LLV;144,7532829;7;1;2692;2021-04-29 16:13:10.755;2021-04-29 17:20:01.438
1886;87654321V;3445DKM;58,396348;0;0;2615;2021-04-30 03:01:58.819;2021-04-30 04:04:11.677
1887;44678910Y;3445DKM;94,79828392;1;6;2528;2021-04-30 15:01:11.536;2021-04-30 15:05:56.139
1888;12345678A;3445DKM;9,242674903;3;7;2508;2021-04-30 18:04:02.034;2021-04-30 19:02:17.482
1889;12345678A;5567JJL;90,5171062;6;7;2770;2021-04-30 21:44:32.086;2021-04-30 22:15:23.616
1890;87654321V;3445DKM;67,16666286;7;1;2711;2021-05-01 03:09:35.572;2021-05-01 03:39:41.205
1891;44678910Y;1125LLV;154,6477035;5;2;3006;2021-05-01 14:14:42.859;2021-05-01 16:04:53.944
1892;44678910Y;3445DKM;112,4629256;0;3;2995;2021-05-01 19:03:14.934;2021-05-01 19:41:05.532
1893;12345678A;1125LLV;107,8550119;2;4;2564;2021-05-02 03:24:42.553;2021-05-02 04:55:29.763
1894;12345678A;5567JJL;60,40391367;1;0;2850;2021-05-02 08:46:16.314;2021-05-02 09:41:16.075
1895;87654321V;1125LLV;21,51481529;1;1;3032;2021-05-02 17:55:16.581;2021-05-02 18:22:10.826
1896;44678910Y;3445DKM;52,72706198;1;6;2516;2021-05-03 01:09:45.924;2021-05-03 03:05:12.560
1897;44678910Y;3445DKM;149,095699;4;6;2548;2021-05-03 12:52:21.453;2021-05-03 14:31:43.326
1898;12345678A;5567JJL;154,8260024;3;0;2568;2021-05-03 22:04:04.966;2021-05-03 23:04:19.609
1899;12345678A;5567JJL;55,32672466;2;5;2506;2021-05-04 07:00:19.126;2021-05-04 08:26:26.313
1900;87654321V;3445DKM;19,92275134;2;1;2564;2021-05-04 15:44:06.220;2021-05-04 16:10:11.892
1901;44678910Y;1125LLV;93,75113055;5;3;2833;2021-05-04 20:07:57.247;2021-05-04 21:36:08.254
1902;44678910Y;3445DKM;164,1433615;4;6;3007;2021-05-05 00:46:17.992;2021-05-05 01:58:58.871
1903;12345678A;1125LLV;100,1661851;4;2;2509;2021-05-05 12:18:56.576;2021-05-05 13:43:38.644
1904;12345678A;5567JJL;180,3581242;1;3;2652;2021-05-05 16:42:45.923;2021-05-05 17:13:07.675
1905;87654321V;1125LLV;197,3056458;3;4;2534;2021-05-05 19:23:07.727;2021-05-05 21:13:26.820
1906;44678910Y;3445DKM;159,9192465;5;0;2616;2021-05-06 01:30:35.448;2021-05-06 01:52:13.132
1907;44678910Y;3445DKM;62,52269716;4;0;3051;2021-05-06 11:20:27.686;2021-05-06 12:06:14.457
1908;12345678A;5567JJL;62,87257008;2;3;3092;2021-05-06 15:56:03.813;2021-05-06 17:16:56.831
1909;12345678A;5567JJL;97,12355506;6;1;2654;2021-05-07 02:11:19.203;2021-05-07 03:04:21.732
1910;87654321V;3445DKM;167,127292;1;2;2929;2021-05-07 06:03:46.020;2021-05-07 07:47:05.906
1911;44678910Y;5567JJL;30,31588506;0;5;2748;2021-05-07 18:41:39.113;2021-05-07 19:26:16.163
1912;44678910Y;5567JJL;173,8566502;5;2;2538;2021-05-07 23:40:36.700;2021-05-08 01:00:23.407
1913;12345678A;3445DKM;71,74086415;0;3;2802;2021-05-08 05:22:52.722;2021-05-08 05:35:02.143
1914;12345678A;3445DKM;147,2788556;3;5;2878;2021-05-08 13:52:01.368;2021-05-08 14:12:56.059
1915;12345678A;3445DKM;114,7510083;0;7;2596;2021-05-08 19:49:26.428;2021-05-08 20:39:24.584
1916;12345678A;1125LLV;164,2092726;2;0;2942;2021-05-09 05:10:33.312;2021-05-09 05:26:21.895
1917;12345678A;5567JJL;108,8718307;2;0;2726;2021-05-09 13:42:40.006;2021-05-09 15:01:54.659
1918;12345678A;5567JJL;107,7469084;1;2;2555;2021-05-09 22:09:09.545;2021-05-09 23:47:15.167
1919;87654321V;3445DKM;71,28987333;3;4;3069;2021-05-10 02:18:56.223;2021-05-10 02:28:03.826
1920;44678910Y;5567JJL;44,96619987;7;0;2958;2021-05-10 04:40:17.475;2021-05-10 06:13:12.789
1921;44678910Y;5567JJL;125,1509008;5;0;2988;2021-05-10 15:09:44.393;2021-05-10 15:13:44.662
1922;12345678A;3445DKM;21,90535557;6;4;2673;2021-05-10 23:04:30.463;2021-05-10 23:37:32.321
1923;12345678A;3445DKM;35,21322353;6;6;2512;2021-05-11 10:28:05.088;2021-05-11 12:21:06.875
1924;12345678A;3445DKM;8,98084552;5;5;2843;2021-05-11 15:33:04.120;2021-05-11 15:42:41.333
1925;12345678A;1125LLV;33,24588521;2;6;2764;2021-05-11 22:44:11.742;2021-05-11 22:59:43.246
1926;87654321V;3445DKM;53,80946042;3;2;2882;2021-05-12 02:32:54.750;2021-05-12 03:24:34.700
1927;44678910Y;3445DKM;161,1464629;4;1;2625;2021-05-12 14:18:46.758;2021-05-12 14:19:18.214
1928;12345678A;3445DKM;150,8031427;7;6;2770;2021-05-12 15:12:54.332;2021-05-12 16:12:57.623
1929;12345678A;5567JJL;61,58299564;1;0;2694;2021-05-12 18:14:45.045;2021-05-12 18:38:46.496
1930;87654321V;3445DKM;166,2002474;6;0;2816;2021-05-12 22:50:55.780;2021-05-12 23:26:09.193
1931;44678910Y;1125LLV;75,46240648;6;0;2664;2021-05-13 10:12:41.578;2021-05-13 10:42:08.935
1932;44678910Y;3445DKM;75,19786019;6;0;2817;2021-05-13 13:21:27.597;2021-05-13 13:45:54.063
1933;12345678A;1125LLV;199,536728;5;0;2591;2021-05-13 13:55:29.809;2021-05-13 15:10:40.911
1934;12345678A;5567JJL;55,41796753;1;0;2866;2021-05-13 20:28:36.677;2021-05-13 20:57:48.706
1935;87654321V;1125LLV;143,4360333;6;0;2537;2021-05-14 05:13:33.363;2021-05-14 05:16:23.608
1936;44678910Y;3445DKM;102,8062274;7;4;3089;2021-05-14 06:15:52.533;2021-05-14 07:23:50.168
1937;44678910Y;3445DKM;100,3751221;1;0;2616;2021-05-14 17:13:41.190;2021-05-14 17:19:10.866
1938;12345678A;5567JJL;41,43262402;5;6;2623;2021-05-14 18:25:06.548;2021-05-14 18:36:55.790
1939;12345678A;5567JJL;12,18564752;0;6;2598;2021-05-14 23:52:02.297;2021-05-15 01:08:50.060
1940;87654321V;3445DKM;31,96306063;2;7;2732;2021-05-15 04:11:30.455;2021-05-15 05:29:30.571
1941;44678910Y;1125LLV;66,60406834;5;1;2503;2021-05-15 13:38:24.455;2021-05-15 14:11:22.472
1942;44678910Y;3445DKM;198,7532409;1;6;2544;2021-05-15 19:56:01.750;2021-05-15 20:29:50.099
1943;12345678A;1125LLV;70,36349787;0;3;2835;2021-05-16 07:04:17.505;2021-05-16 07:39:21.578
1944;12345678A;5567JJL;131,8616374;4;7;3083;2021-05-16 08:18:09.098;2021-05-16 08:36:00.984
1945;87654321V;1125LLV;103,9741048;3;3;2564;2021-05-16 10:02:35.053;2021-05-16 11:58:59.003
1946;44678910Y;3445DKM;19,10779512;7;4;2678;2021-05-16 12:02:08.633;2021-05-16 13:39:08.673
1947;44678910Y;3445DKM;120,8843695;0;0;2823;2021-05-16 23:18:07.157;2021-05-17 01:10:58.593
1948;12345678A;5567JJL;104,8054915;6;7;2513;2021-05-17 04:11:37.296;2021-05-17 04:46:59.398
1949;12345678A;5567JJL;124,4791133;3;7;2878;2021-05-17 08:29:35.943;2021-05-17 09:07:39.209
1950;87654321V;3445DKM;172,377913;7;0;3099;2021-05-17 15:47:24.758;2021-05-17 16:23:29.951
1951;44678910Y;5567JJL;140,2993326;7;7;2646;2021-05-18 01:26:13.942;2021-05-18 03:26:01.475
1952;44678910Y;5567JJL;163,5727946;5;5;2583;2021-05-18 12:01:10.493;2021-05-18 12:49:38.337
1953;12345678A;3445DKM;55,93174514;7;1;2685;2021-05-18 21:28:58.458;2021-05-18 21:56:23.114
1954;12345678A;3445DKM;170,2210908;6;4;2662;2021-05-19 08:19:38.112;2021-05-19 09:19:08.057
1955;12345678A;3445DKM;190,0654604;5;0;2903;2021-05-19 15:12:27.899;2021-05-19 16:27:29.019
1956;12345678A;1125LLV;35,324568;3;6;2618;2021-05-19 22:35:04.439;2021-05-20 00:31:12.056
1957;12345678A;5567JJL;42,69704508;4;6;2984;2021-05-20 03:33:58.304;2021-05-20 04:34:35.584
1958;12345678A;5567JJL;59,73396177;7;2;2867;2021-05-20 13:44:19.663;2021-05-20 15:36:56.018
1959;87654321V;3445DKM;68,22456618;5;5;2864;2021-05-20 23:59:41.465;2021-05-21 00:56:50.475
1960;44678910Y;5567JJL;39,61739883;2;4;2671;2021-05-21 10:08:15.739;2021-05-21 10:59:09.122
1961;44678910Y;5567JJL;59,3049737;2;7;2996;2021-05-21 21:06:06.736;2021-05-21 21:44:51.708
1962;12345678A;3445DKM;148,4523159;1;0;2807;2021-05-22 01:06:58.622;2021-05-22 02:04:00.963
1963;12345678A;3445DKM;37,56396094;3;5;2791;2021-05-22 10:14:00.244;2021-05-22 10:48:49.652
1964;12345678A;3445DKM;82,9351105;0;0;3001;2021-05-22 19:41:43.777;2021-05-22 20:58:52.084
1965;12345678A;1125LLV;79,55568986;5;4;2592;2021-05-22 23:26:50.907;2021-05-23 00:37:26.382
1966;87654321V;3445DKM;42,52540907;7;4;2866;2021-05-23 10:16:53.146;2021-05-23 10:32:39.661
1967;44678910Y;3445DKM;201,6720776;3;4;3054;2021-05-23 12:14:23.110;2021-05-23 12:27:07.790
1968;12345678A;3445DKM;59,82818188;5;2;2675;2021-05-23 22:59:58.940;2021-05-24 00:12:13.558
1969;12345678A;5567JJL;130,4250243;3;3;2616;2021-05-24 09:52:35.536;2021-05-24 11:09:00.820
1970;87654321V;3445DKM;19,80784023;2;3;3081;2021-05-24 17:01:44.215;2021-05-24 18:20:53.623
1971;44678910Y;1125LLV;66,62605512;5;7;2914;2021-05-24 21:44:52.400;2021-05-24 22:19:32.605
1972;44678910Y;3445DKM;15,55740796;5;4;2711;2021-05-24 23:06:44.740;2021-05-25 00:01:43.488
1973;12345678A;1125LLV;87,72919818;1;0;2691;2021-05-25 05:51:47.270;2021-05-25 07:06:43.894
1974;12345678A;5567JJL;149,7103686;7;3;2964;2021-05-25 11:48:54.882;2021-05-25 13:11:51.252
1975;87654321V;1125LLV;75,0821748;1;0;2792;2021-05-25 14:38:15.357;2021-05-25 15:19:52.485
1976;44678910Y;3445DKM;132,4599238;3;4;2575;2021-05-25 21:29:12.263;2021-05-25 23:28:16.317
1977;44678910Y;3445DKM;5,345537478;4;3;3042;2021-05-26 01:09:40.974;2021-05-26 02:45:41.618
1978;12345678A;5567JJL;94,64456181;1;1;2733;2021-05-26 04:15:10.536;2021-05-26 05:16:58.377
1979;12345678A;5567JJL;87,23653391;6;1;2794;2021-05-26 05:19:39.197;2021-05-26 06:54:04.125
1980;87654321V;3445DKM;87,13487592;2;0;2657;2021-05-26 12:19:59.791;2021-05-26 13:48:37.546
1981;44678910Y;1125LLV;168,5903015;7;5;2635;2021-05-26 14:32:46.255;2021-05-26 15:05:18.180
1982;44678910Y;3445DKM;170,0263196;6;5;2591;2021-05-27 01:19:39.090;2021-05-27 03:01:11.784
1983;12345678A;1125LLV;105,2591678;2;4;2745;2021-05-27 09:31:38.457;2021-05-27 09:34:00.885
1984;12345678A;5567JJL;118,9268971;2;1;2666;2021-05-27 18:38:14.455;2021-05-27 20:34:43.510
1985;87654321V;1125LLV;90,7658575;3;2;2551;2021-05-27 23:28:58.402;2021-05-27 23:57:56.075
1986;44678910Y;3445DKM;88,21555749;2;7;2652;2021-05-28 02:46:27.962;2021-05-28 03:43:05.077
1987;44678910Y;3445DKM;177,1154534;6;4;2832;2021-05-28 09:37:53.123;2021-05-28 09:39:07.184
1988;12345678A;5567JJL;66,60064518;6;0;2823;2021-05-28 09:41:40.717;2021-05-28 11:23:01.400
1989;12345678A;5567JJL;187,6268728;3;4;2738;2021-05-28 17:00:06.007;2021-05-28 18:46:40.507
1990;87654321V;3445DKM;148,9721619;7;6;3022;2021-05-29 04:23:27.064;2021-05-29 05:36:45.071
1991;44678910Y;5567JJL;47,52911401;4;3;2555;2021-05-29 08:47:10.018;2021-05-29 08:54:10.133
1992;44678910Y;5567JJL;146,7163014;4;0;2650;2021-05-29 18:13:49.325;2021-05-29 19:18:56.729
1993;12345678A;3445DKM;184,4283976;7;0;2514;2021-05-30 03:08:36.235;2021-05-30 03:57:28.209
1994;12345678A;3445DKM;44,11143526;7;3;3060;2021-05-30 04:52:27.364;2021-05-30 05:06:34.694
1995;12345678A;3445DKM;44,5911895;4;1;3063;2021-05-30 05:18:25.795;2021-05-30 05:28:28.839
1996;12345678A;1125LLV;9,091587185;0;1;2643;2021-05-30 10:35:34.908;2021-05-30 12:22:28.070
1997;12345678A;5567JJL;23,76439754;0;1;2519;2021-05-30 17:30:34.459;2021-05-30 18:53:24.725
1998;12345678A;5567JJL;175,2539015;6;6;2784;2021-05-31 02:49:07.091;2021-05-31 04:23:51.571
1999;87654321V;3445DKM;7,604429534;3;3;2834;2021-05-31 08:55:02.120;2021-05-31 09:08:53.670
2000;44678910Y;5567JJL;31,16237022;4;4;3041;2021-05-31 09:21:51.361;2021-05-31 10:50:31.158
2001;44678910Y;5567JJL;156,6583649;4;4;2932;2021-05-31 12:09:18.412;2021-05-31 12:45:42.260
2002;12345678A;3445DKM;36,79664114;0;2;2819;2021-05-31 15:07:54.681;2021-05-31 16:21:37.922
2003;12345678A;3445DKM;67,70394719;4;4;2549;2021-05-31 16:57:46.222;2021-05-31 17:24:32.811
2004;12345678A;3445DKM;36,35630107;3;2;2807;2021-06-01 01:49:49.551;2021-06-01 02:50:39.517
2005;12345678A;1125LLV;36,16310083;1;0;2965;2021-06-01 11:00:54.477;2021-06-01 12:35:38.806
2006;87654321V;3445DKM;173,5916594;4;1;3082;2021-06-01 17:54:17.193;2021-06-01 17:55:19.270
2007;44678910Y;3445DKM;53,23029317;7;1;2518;2021-06-01 18:49:42.235;2021-06-01 20:15:05.722
2008;12345678A;3445DKM;121,3376035;7;4;2629;2021-06-01 22:29:50.057;2021-06-01 23:37:28.825
2009;12345678A;5567JJL;56,20083739;3;5;2970;2021-06-02 07:23:03.603;2021-06-02 07:31:54.013
2010;87654321V;3445DKM;5,455019108;7;7;2886;2021-06-02 17:55:14.489;2021-06-02 18:41:11.065
2011;44678910Y;1125LLV;66,32088253;2;4;2811;2021-06-02 21:43:25.631;2021-06-02 22:18:45.387
2012;44678910Y;3445DKM;41,56942847;4;4;2778;2021-06-03 02:46:42.405;2021-06-03 03:58:08.618
2013;12345678A;1125LLV;11,74016279;6;3;2878;2021-06-03 04:25:31.455;2021-06-03 05:38:24.645
2014;12345678A;5567JJL;172,4324408;3;1;2833;2021-06-03 15:20:27.238;2021-06-03 16:32:10.572
2015;87654321V;1125LLV;188,5262192;2;0;2955;2021-06-03 22:16:14.858;2021-06-03 23:40:53.728
2016;44678910Y;3445DKM;66,71078239;7;4;2812;2021-06-04 00:19:05.616;2021-06-04 01:29:42.265
2017;44678910Y;3445DKM;19,47760814;6;2;2805;2021-06-04 09:08:01.919;2021-06-04 09:22:58.714
2018;12345678A;5567JJL;174,1502892;3;7;3000;2021-06-04 10:55:54.438;2021-06-04 11:14:56.416
2019;12345678A;5567JJL;155,1329617;3;7;2740;2021-06-04 17:00:21.815;2021-06-04 18:41:46.718
2020;87654321V;3445DKM;83,6413451;7;7;2606;2021-06-04 18:42:53.584;2021-06-04 18:43:13.763
2021;44678910Y;1125LLV;76,6675876;7;6;2886;2021-06-05 00:14:42.038;2021-06-05 00:18:52.578
2022;44678910Y;3445DKM;75,64195883;7;1;2983;2021-06-05 03:02:27.822;2021-06-05 04:23:49.674
2023;12345678A;1125LLV;78,24982342;4;1;2671;2021-06-05 07:58:45.338;2021-06-05 09:27:11.121
2024;12345678A;5567JJL;80,75503554;4;0;2633;2021-06-05 18:39:10.105;2021-06-05 19:15:41.234
2025;87654321V;1125LLV;85,3938199;2;7;3087;2021-06-05 19:43:54.095;2021-06-05 20:50:52.293
2026;44678910Y;3445DKM;172,7773622;5;5;2608;2021-06-05 22:12:20.428;2021-06-06 00:00:03.362
2027;44678910Y;3445DKM;123,8555947;2;2;3041;2021-06-06 08:30:33.486;2021-06-06 08:31:16.473
2028;12345678A;5567JJL;74,65234555;1;7;3084;2021-06-06 14:22:34.661;2021-06-06 15:45:38.756
2029;12345678A;5567JJL;46,9379041;4;3;2713;2021-06-06 19:07:51.544;2021-06-06 19:42:42.391
2030;87654321V;3445DKM;2,08873464;3;3;2988;2021-06-06 23:55:35.314;2021-06-07 00:10:02.601
2031;44678910Y;5567JJL;56,18840309;1;3;2561;2021-06-07 00:19:08.425;2021-06-07 00:38:38.626
2032;44678910Y;5567JJL;37,48571125;5;1;2545;2021-06-07 04:32:10.582;2021-06-07 04:50:16.830
2033;12345678A;3445DKM;198,7777305;4;7;2827;2021-06-07 08:46:18.400;2021-06-07 09:45:55.730
2034;12345678A;3445DKM;13,31510102;0;6;2669;2021-06-07 16:51:23.450;2021-06-07 17:10:50.001
